ID,Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min)
5D99,35,4.3,Snack ,motorcycle ,33
4F0,29,4.6,Drinks ,scooter ,33
B796,37,4.7,Snack ,motorcycle ,52
85B4,28,4.6,Snack ,scooter ,22
C644,37,4.9,Snack ,scooter ,16
6999,23,4.9,Drinks ,electric_scooter ,11
63B6,27,4.9,Drinks ,scooter ,25
A30B,37,4.8,Drinks ,motorcycle ,26
3556,33,5.0,Snack ,scooter ,18
5554,31,4.9,Snack ,motorcycle ,16
25FD,31,4.8,Drinks ,scooter ,23
C1FF,25,5.0,Snack ,motorcycle ,15
7AC8,28,4.8,Drinks ,motorcycle ,36
3DA1,31,4.7,Snack ,motorcycle ,16
272D,24,4.7,Buffet ,motorcycle ,19
DDC5,39,4.6,Snack ,motorcycle ,27
8E6C,39,4.2,Snack ,scooter ,49
B002,32,4.5,Buffet ,scooter ,20
395B,36,4.7,Snack ,motorcycle ,30
8AA2,25,4.8,Drinks ,scooter ,18
B55A,33,4.9,Drinks ,scooter ,22
73CC,30,4.4,Drinks ,scooter ,34
BE80,33,5.0,Buffet ,motorcycle ,24
1609,36,4.9,Drinks ,scooter ,17
D255,21,4.8,Meal ,electric_scooter ,14
DE72,39,4.9,Meal ,motorcycle ,30
98AA,23,4.8,Meal ,scooter ,15
273A,35,4.8,Buffet ,scooter ,16
A258,39,4.6,Snack ,scooter ,36
8B53,22,4.7,Buffet ,scooter ,18
BBDE,32,4.6,Meal ,scooter ,17
5DED,24,4.8,Buffet ,motorcycle ,15
1A70,29,4.7,Buffet ,motorcycle ,17
A9F,29,4.6,Drinks ,scooter ,19
4B7F,26,4.7,Buffet ,motorcycle ,10
C606,20,4.5,Drinks ,motorcycle ,27
B962,35,4.1,Buffet ,motorcycle ,37
633C,39,4.6,Drinks ,scooter ,44
2DC6,34,4.7,Drinks ,electric_scooter ,28
903A,27,4.7,Snack ,scooter ,42
C444,30,4.8,Snack ,motorcycle ,25
1FB7,25,4.4,Snack ,scooter ,39
34D7,25,4.7,Meal ,motorcycle ,20
156B,30,5.0,Buffet ,motorcycle ,31
56AD,24,4.6,Buffet ,motorcycle ,13
837C,39,4.8,Meal ,motorcycle ,28
CBC4,25,4.8,Snack ,scooter ,19
C19E,37,4.6,Buffet ,motorcycle ,42
1D60,24,5.0,Drinks ,motorcycle ,23
95FB,25,4.2,Meal ,motorcycle ,39
8195,32,4.6,Drinks ,motorcycle ,25
C042,34,4.7,Drinks ,scooter ,15
6D19,38,4.9,Drinks ,scooter ,15
3.5E+07,36,4.8,Buffet ,electric_scooter ,15
B437,25,5.0,Meal ,motorcycle ,15
9.7E+04,29,5.0,Drinks ,motorcycle ,18
A3E0,36,4.7,Drinks ,electric_scooter ,29
4161,33,4.7,Snack ,motorcycle ,20
1236,36,4.4,Meal ,scooter ,39
2558,21,4.8,Snack ,motorcycle ,19
3185,25,4.8,Snack ,scooter ,19
3C57,23,4.8,Meal ,motorcycle ,17
4863,25,4.6,Snack ,motorcycle ,15
6757,24,4.3,Meal ,motorcycle ,19
22AD,27,4.6,Buffet ,motorcycle ,29
9F99,23,4.8,Snack ,scooter ,22
6781,21,4.3,Drinks ,scooter ,42
1B8D,27,4.7,Snack ,scooter ,12
1AEA,32,4.2,Snack ,motorcycle ,38
1E+42,25,4.6,Drinks ,motorcycle ,23
DDC8,39,4.7,Meal ,scooter ,15
24AC,27,4.6,Snack ,motorcycle ,24
3F01,39,3.8,Drinks ,motorcycle ,37
628C,31,4.8,Snack ,scooter ,24
6C38,31,4.8,Buffet ,electric_scooter ,13
4BEB,20,4.8,Drinks ,motorcycle ,16
8339,36,4.9,Drinks ,motorcycle ,42
3EC5,20,4.9,Meal ,motorcycle ,17
ADB4,24,4.6,Drinks ,motorcycle ,25
6E+02,29,4.6,Snack ,electric_scooter ,25
2BC0,39,4.2,Snack ,scooter ,39
9.9E+08,37,4.8,Meal ,scooter ,18
39EF,32,4.9,Drinks ,motorcycle ,28
E264,22,4.5,Drinks ,scooter ,18
BD03,23,4.9,Meal ,scooter ,18
9A29,33,4.7,Snack ,scooter ,49
D0E5,23,4.6,Drinks ,motorcycle ,15
A480,27,4.6,Drinks ,motorcycle ,21
B46C,34,4.7,Snack ,scooter ,23
7150,26,5.0,Meal ,scooter ,11
1E+58,31,4.6,Snack ,motorcycle ,25
4460,32,4.9,Snack ,motorcycle ,18
977D,27,4.7,Buffet ,motorcycle ,14
1602,21,4.9,Drinks ,motorcycle ,36
894E,28,4.8,Drinks ,motorcycle ,18
5A01,24,4.9,Meal ,scooter ,17
655,33,4.4,Snack ,motorcycle ,28
20F6,20,4.6,Buffet ,motorcycle ,44
3DB1,31,4.3,Snack ,motorcycle ,20
1EC7,29,4.6,Snack ,scooter ,19
8ED2,36,5.0,Snack ,motorcycle ,35
64CC,31,4.2,Meal ,motorcycle ,50
2ED0,39,4.1,Meal ,scooter ,34
4008,29,4.6,Meal ,electric_scooter ,17
7553,29,4.6,Snack ,scooter ,23
35D8,37,4.9,Buffet ,motorcycle ,27
9832,33,4.7,Snack ,motorcycle ,26
4C88,31,3.9,Buffet ,scooter ,35
9693,37,4.6,Drinks ,motorcycle ,41
81A5,26,4.4,Buffet ,motorcycle ,23
AE56,24,4.6,Snack ,motorcycle ,30
8D18,23,4.8,Buffet ,scooter ,19
9CBA,36,4.9,Buffet ,scooter ,27
9B79,39,4.8,Snack ,motorcycle ,28
596A,20,4.7,Drinks ,motorcycle ,24
78AA,20,5.0,Meal ,motorcycle ,36
D7EC,29,4.3,Buffet ,motorcycle ,28
55B1,36,4.8,Drinks ,motorcycle ,31
8.7E+05,36,4.0,Meal ,motorcycle ,44
82C3,22,4.8,Drinks ,scooter ,15
5397,38,4.4,Buffet ,motorcycle ,33
876B,39,4.9,Buffet ,motorcycle ,30
3A5A,24,4.9,Snack ,scooter ,22
5.1E+05,30,4.1,Snack ,motorcycle ,43
5631,35,4.8,Meal ,motorcycle ,48
1DAC,33,4.5,Drinks ,electric_scooter ,19
DE01,39,4.7,Snack ,motorcycle ,21
8771,31,4.3,Drinks ,motorcycle ,44
3645,37,4.5,Drinks ,scooter ,26
1FF1,37,4.7,Buffet ,scooter ,26
4A3C,33,5.0,Meal ,motorcycle ,31
6E0D,24,4.6,Meal ,scooter ,19
6CC6,33,4.5,Snack ,scooter ,18
C141,39,4.7,Meal ,motorcycle ,38
690F,37,4.6,Snack ,motorcycle ,32
B4BA,25,4.9,Meal ,scooter ,17
63A9,28,4.8,Buffet ,scooter ,11
88DD,38,4.7,Buffet ,motorcycle ,31
1B58,29,4.6,Drinks ,motorcycle ,43
87A8,31,4.6,Meal ,motorcycle ,25
3F8D,25,4.8,Snack ,motorcycle ,22
290C,35,4.9,Drinks ,motorcycle ,43
7ECE,39,4.7,Buffet ,motorcycle ,42
1365,38,3.9,Meal ,motorcycle ,42
33A4,35,4.7,Drinks ,motorcycle ,34
8F3C,29,4.7,Snack ,motorcycle ,17
2FE1,27,4.6,Snack ,scooter ,25
4B5B,38,4.3,Meal ,motorcycle ,54
7405,36,4.9,Buffet ,motorcycle ,21
6245,26,4.0,Buffet ,motorcycle ,34
D02B,26,4.1,Meal ,motorcycle ,36
1F0E,36,4.9,Drinks ,motorcycle ,17
7085,21,4.7,Meal ,motorcycle ,16
57FA,35,4.7,Meal ,electric_scooter ,27
57FC,20,4.5,Meal ,motorcycle ,26
7A1F,23,4.6,Snack ,motorcycle ,46
CEAC,37,5.0,Buffet ,motorcycle ,29
A0A5,26,4.8,Snack ,motorcycle ,23
892D,29,5.0,Snack ,scooter ,11
6118,26,4.9,Snack ,motorcycle ,28
46FD,29,4.8,Meal ,motorcycle ,25
5134,29,4.7,Snack ,motorcycle ,11
D418,21,4.9,Meal ,scooter ,26
256C,22,4.3,Meal ,motorcycle ,23
6055,31,4.0,Snack ,motorcycle ,39
7BFB,20,4.5,Snack ,motorcycle ,11
7220,30,3.9,Drinks ,electric_scooter ,32
1568,36,4.8,Snack ,motorcycle ,43
41EA,24,4.7,Buffet ,scooter ,13
1C60,32,4.7,Buffet ,electric_scooter ,25
7944,25,5.0,Drinks ,motorcycle ,27
77EE,27,4.5,Drinks ,scooter ,29
2192,32,4.1,Buffet ,motorcycle ,33
48C7,23,4.7,Drinks ,motorcycle ,19
78BF,39,4.4,Meal ,motorcycle ,33
7A5A,20,4.8,Snack ,motorcycle ,28
4321,20,4.8,Drinks ,electric_scooter ,15
E00D,29,4.6,Meal ,scooter ,29
1E+86,26,4.9,Meal ,scooter ,18
CFF0,25,5.0,Meal ,motorcycle ,14
1E2D,34,4.7,Snack ,motorcycle ,30
D072,31,4.9,Snack ,motorcycle ,28
9A57,24,4.7,Snack ,motorcycle ,39
427B,30,4.9,Meal ,motorcycle ,30
5.2E+03,36,4.8,Buffet ,motorcycle ,36
9395,36,4.4,Snack ,motorcycle ,37
B5D2,26,4.7,Meal ,motorcycle ,43
6C4D,30,4.6,Buffet ,scooter ,29
D1C8,20,4.8,Drinks ,scooter ,25
98CA,33,4.7,Buffet ,electric_scooter ,15
1B5B,29,4.6,Snack ,scooter ,24
644B,34,4.0,Snack ,motorcycle ,39
7A2D,36,4.6,Buffet ,motorcycle ,20
E13F,33,4.6,Buffet ,motorcycle ,15
C278,22,4.8,Drinks ,motorcycle ,16
5912,38,4.7,Drinks ,scooter ,19
AB33,27,4.9,Drinks ,scooter ,20
DD96,32,4.8,Meal ,scooter ,25
7646,26,4.8,Snack ,motorcycle ,43
5EF5,29,4.5,Drinks ,motorcycle ,15
7EF7,31,4.5,Buffet ,motorcycle ,29
1136,28,4.6,Drinks ,motorcycle ,14
D032,21,4.8,Buffet ,motorcycle ,11
199D,21,4.0,Buffet ,motorcycle ,19
871C,30,4.9,Drinks ,motorcycle ,29
CF18,29,4.7,Buffet ,motorcycle ,11
1DAD,20,4.8,Snack ,motorcycle ,14
C918,28,5.0,Snack ,motorcycle ,15
33C1,25,4.7,Meal ,motorcycle ,16
1B50,29,4.6,Buffet ,motorcycle ,43
27FE,38,4.8,Buffet ,motorcycle ,20
1536,39,4.9,Drinks ,motorcycle ,26
A152,26,4.9,Snack ,scooter ,26
9C9A,33,4.4,Meal ,motorcycle ,43
3052,24,4.6,Snack ,motorcycle ,25
1045,24,4.9,Buffet ,motorcycle ,28
2391,33,4.5,Buffet ,scooter ,17
7DDD,35,4.2,Drinks ,motorcycle ,44
279F,27,4.2,Buffet ,motorcycle ,33
E76,29,4.6,Snack ,scooter ,19
AEFA,29,4.5,Snack ,motorcycle ,15
DAD6,34,4.7,Buffet ,scooter ,27
C237,20,4.7,Meal ,scooter ,25
4EFC,29,4.8,Drinks ,motorcycle ,18
6E+33,22,4.9,Snack ,scooter ,21
D92F,35,4.9,Buffet ,motorcycle ,53
D902,32,4.4,Drinks ,motorcycle ,42
D91A,28,4.9,Snack ,motorcycle ,20
4F0C,30,4.7,Meal ,scooter ,29
8456,22,4.7,Snack ,scooter ,15
3329,36,4.7,Buffet ,motorcycle ,30
1AA8,23,4.8,Snack ,motorcycle ,28
144D,22,4.8,Drinks ,motorcycle ,19
D27B,29,4.5,Meal ,motorcycle ,15
ADD6,34,4.9,Buffet ,motorcycle ,50
7C60,38,4.1,Buffet ,motorcycle ,41
4FB8,35,5.0,Snack ,motorcycle ,37
1406,38,4.7,Drinks ,scooter ,28
C63E,32,4.3,Meal ,scooter ,35
7B03,20,4.5,Buffet ,motorcycle ,27
4314,25,4.9,Buffet ,motorcycle ,43
9E5A,29,4.5,Meal ,scooter ,12
C044,32,4.7,Meal ,scooter ,31
D7D3,39,4.1,Drinks ,motorcycle ,39
70B1,31,4.4,Buffet ,motorcycle ,47
5.9E+06,37,4.5,Buffet ,motorcycle ,26
DEAC,36,4.9,Snack ,electric_scooter ,31
A053,37,3.8,Snack ,motorcycle ,42
4DB,29,4.6,Meal ,scooter ,12
7031,38,4.9,Snack ,scooter ,25
D3BC,37,4.4,Drinks ,motorcycle ,39
8DE9,21,4.9,Buffet ,scooter ,21
7C84,35,4.9,Meal ,electric_scooter ,18
96D2,22,4.8,Snack ,scooter ,22
77B5,28,4.8,Buffet ,motorcycle ,23
75DC,39,4.0,Drinks ,motorcycle ,48
BE78,29,4.5,Snack ,scooter ,13
35A2,39,4.6,Drinks ,motorcycle ,32
416F,25,4.9,Snack ,electric_scooter ,16
A4F5,34,5.0,Snack ,electric_scooter ,19
A4EB,22,4.8,Drinks ,motorcycle ,18
D4DA,27,5.0,Buffet ,motorcycle ,27
B59B,28,4.5,Drinks ,motorcycle ,25
4F73,32,5.0,Drinks ,scooter ,31
6A7,29,4.6,Drinks ,scooter ,39
ADAE,27,4.6,Snack ,motorcycle ,20
B785,35,3.9,Snack ,motorcycle ,38
8366,22,4.6,Buffet ,motorcycle ,19
BFF2,35,4.7,Drinks ,electric_scooter ,17
8F58,30,4.6,Buffet ,motorcycle ,24
247C,39,4.8,Drinks ,scooter ,26
43B9,33,4.8,Meal ,motorcycle ,28
9E8A,20,4.7,Snack ,scooter ,16
47AF,20,4.7,Buffet ,motorcycle ,17
1B40,34,4.2,Snack ,motorcycle ,24
B4FB,22,4.7,Meal ,motorcycle ,24
B50,37,4.3,Meal ,scooter ,34
3376,20,4.8,Snack ,motorcycle ,16
BECB,33,4.9,Drinks ,motorcycle ,26
4357,21,5.0,Drinks ,motorcycle ,25
1486,33,4.6,Meal ,motorcycle ,49
5B70,24,4.6,Snack ,electric_scooter ,24
490E,36,4.7,Meal ,scooter ,32
3E+21,30,4.6,Buffet ,motorcycle ,26
26D4,32,4.9,Buffet ,scooter ,24
B20F,28,4.6,Drinks ,electric_scooter ,16
7ADA,21,4.7,Drinks ,scooter ,27
C4B3,39,4.9,Drinks ,motorcycle ,25
2A01,32,4.7,Drinks ,motorcycle ,26
6357,20,4.5,Buffet ,scooter ,25
73C,29,4.6,Meal ,motorcycle ,26
9C2A,36,5.0,Meal ,scooter ,15
31BD,28,4.8,Buffet ,scooter ,18
970A,32,4.5,Buffet ,motorcycle ,30
2675,39,4.4,Drinks ,scooter ,46
A200,30,4.7,Drinks ,motorcycle ,24
9BF9,32,4.4,Drinks ,motorcycle ,37
555D,23,4.6,Snack ,motorcycle ,27
5BD9,21,4.8,Buffet ,scooter ,27
B2E9,31,4.2,Meal ,electric_scooter ,32
8633,37,4.6,Buffet ,electric_scooter ,28
4C34,20,4.5,Drinks ,motorcycle ,29
A998,28,4.5,Snack ,motorcycle ,27
5EFD,22,4.9,Snack ,motorcycle ,11
8D83,20,4.7,Buffet ,motorcycle ,13
8A06,34,4.8,Buffet ,scooter ,27
5A2D,38,4.8,Snack ,scooter ,25
4C1,29,4.6,Drinks ,scooter ,26
83EA,32,4.5,Buffet ,motorcycle ,27
2185,34,4.9,Snack ,scooter ,26
1.2E+08,33,3.9,Meal ,electric_scooter ,32
5956,34,4.5,Meal ,motorcycle ,25
7814,32,4.6,Meal ,motorcycle ,32
CEE,29,4.6,Drinks ,scooter ,42
5A07,34,4.7,Drinks ,motorcycle ,29
340F,26,4.6,Buffet ,scooter ,32
8094,31,4.0,Drinks ,motorcycle ,35
3241,39,4.8,Drinks ,motorcycle ,27
DE16,27,4.8,Meal ,motorcycle ,15
A176,32,5.0,Buffet ,scooter ,27
C8C7,32,4.5,Meal ,motorcycle ,30
AA97,39,4.1,Snack ,motorcycle ,32
A64C,36,4.8,Meal ,electric_scooter ,25
7DF5,37,4.1,Buffet ,motorcycle ,38
869E,37,4.8,Meal ,scooter ,26
7725,38,3.7,Meal ,motorcycle ,31
B6D2,28,4.7,Drinks ,scooter ,28
6EDB,34,3.8,Meal ,scooter ,31
AAB4,32,4.9,Buffet ,motorcycle ,29
AABD,22,4.7,Buffet ,motorcycle ,17
C873,31,4.0,Drinks ,motorcycle ,45
1494,27,4.0,Meal ,motorcycle ,34
1875,29,4.9,Drinks ,scooter ,24
2AF5,38,4.8,Meal ,motorcycle ,44
97B6,35,4.8,Snack ,motorcycle ,36
A56E,31,4.9,Meal ,motorcycle ,28
AA3F,30,4.3,Drinks ,scooter ,37
6226,24,4.9,Snack ,motorcycle ,10
996B,33,4.8,Drinks ,motorcycle ,23
C595,29,4.6,Meal ,motorcycle ,22
6BFB,38,4.6,Snack ,scooter ,26
7E1F,26,4.9,Drinks ,motorcycle ,34
B20D,39,4.8,Buffet ,scooter ,26
A11B,24,4.5,Snack ,motorcycle ,21
1DB4,34,4.2,Meal ,motorcycle ,28
2258,26,4.7,Snack ,motorcycle ,14
1FD6,35,4.7,Meal ,motorcycle ,17
6DE1,36,4.2,Drinks ,motorcycle ,37
8B39,24,2.6,Drinks ,motorcycle ,42
8F8,29,4.6,Snack ,motorcycle ,17
997B,33,4.3,Meal ,motorcycle ,34
CDB6,26,4.6,Buffet ,motorcycle ,25
5A7A,32,5.0,Buffet ,scooter ,30
6DE3,37,4.9,Meal ,motorcycle ,48
E27A,26,4.9,Drinks ,scooter ,18
AB52,31,4.8,Drinks ,scooter ,28
4632,37,4.6,Buffet ,motorcycle ,26
4B8A,26,4.7,Drinks ,scooter ,16
1623,37,4.8,Meal ,motorcycle ,25
AA66,22,4.6,Drinks ,motorcycle ,22
7EA,21,4.4,Drinks ,motorcycle ,15
4DFA,22,4.0,Snack ,motorcycle ,28
A667,38,4.5,Meal ,motorcycle ,20
6E9D,28,4.0,Buffet ,motorcycle ,32
5807,29,4.7,Meal ,scooter ,17
9A32,31,4.9,Drinks ,motorcycle ,38
917D,24,4.8,Snack ,scooter ,14
8673,33,4.8,Buffet ,motorcycle ,26
4AC4,26,4.9,Snack ,motorcycle ,30
1B6A,29,4.6,Meal ,scooter ,28
7BD7,20,4.7,Snack ,scooter ,29
9735,29,4.8,Buffet ,scooter ,12
1A54,32,4.0,Buffet ,motorcycle ,49
819D,20,4.9,Meal ,motorcycle ,42
96F0,26,5.0,Meal ,electric_scooter ,24
66F1,38,4.8,Buffet ,motorcycle ,46
C6E9,34,4.6,Meal ,electric_scooter ,27
B8AA,27,4.5,Snack ,motorcycle ,13
C668,29,5.0,Drinks ,motorcycle ,25
4C13,24,4.9,Drinks ,motorcycle ,24
824A,21,4.9,Buffet ,motorcycle ,12
CB5B,33,4.4,Drinks ,motorcycle ,24
4CAB,35,4.7,Meal ,motorcycle ,29
AFC4,35,4.7,Snack ,scooter ,18
C003,29,4.6,Snack ,scooter ,20
18C0,29,4.6,Buffet ,motorcycle ,13
1655,29,4.8,Drinks ,motorcycle ,23
7573,21,4.9,Buffet ,motorcycle ,19
9201,29,4.6,Meal ,motorcycle ,29
A940,22,4.7,Snack ,motorcycle ,24
604,29,4.6,Drinks ,scooter ,27
D6EF,24,4.4,Meal ,scooter ,40
B39B,23,4.9,Snack ,scooter ,22
8CE7,27,4.6,Drinks ,scooter ,12
9873,33,4.1,Drinks ,motorcycle ,43
29AB,35,4.6,Meal ,scooter ,26
8198,21,4.7,Buffet ,scooter ,27
7B24,39,4.4,Meal ,motorcycle ,35
92EC,34,4.8,Drinks ,scooter ,27
1ACA,29,4.9,Drinks ,motorcycle ,27
A348,20,4.7,Buffet ,scooter ,17
C733,20,4.8,Drinks ,motorcycle ,17
14D0,30,4.7,Drinks ,motorcycle ,15
D800,37,4.7,Buffet ,scooter ,39
17DB,39,4.6,Drinks ,motorcycle ,25
6D58,26,5.0,Drinks ,motorcycle ,18
DED5,32,4.9,Meal ,motorcycle ,48
A20A,21,4.7,Drinks ,scooter ,28
7C9E,35,4.8,Snack ,scooter ,29
5EF3,39,4.6,Buffet ,motorcycle ,32
80C2,39,5.0,Meal ,motorcycle ,41
D2B0,27,4.9,Drinks ,motorcycle ,39
70FF,33,4.8,Drinks ,scooter ,16
548E,33,4.8,Meal ,motorcycle ,48
26F1,37,4.7,Buffet ,motorcycle ,40
4A1B,20,4.6,Drinks ,motorcycle ,11
BF6C,20,4.6,Buffet ,motorcycle ,19
5561,31,4.2,Drinks ,scooter ,35
AFD4,27,4.6,Buffet ,electric_scooter ,16
6957,37,4.9,Drinks ,scooter ,15
9151,34,4.4,Buffet ,scooter ,31
9D4C,25,4.7,Snack ,motorcycle ,11
D413,37,4.7,Meal ,motorcycle ,22
C677,23,4.7,Meal ,scooter ,16
4421,27,5.0,Drinks ,motorcycle ,24
A631,36,4.7,Snack ,electric_scooter ,16
3A16,30,4.3,Snack ,motorcycle ,42
DF8E,20,4.9,Drinks ,motorcycle ,31
A04,28,4.7,Snack ,scooter ,31
4300,36,4.0,Buffet ,motorcycle ,33
58C2,20,4.7,Drinks ,scooter ,16
BBC6,22,4.7,Buffet ,motorcycle ,16
50C4,28,4.7,Buffet ,motorcycle ,25
BCD5,34,4.8,Buffet ,electric_scooter ,18
6234,25,4.8,Drinks ,scooter ,26
CC11,38,5.0,Meal ,scooter ,34
6445,34,3.5,Snack ,motorcycle ,32
33DC,24,4.9,Drinks ,motorcycle ,22
ACD8,33,4.6,Snack ,motorcycle ,50
BFB4,21,4.6,Snack ,scooter ,16
D989,25,4.6,Drinks ,motorcycle ,23
8B3F,23,4.9,Buffet ,motorcycle ,19
DEB4,34,4.9,Snack ,motorcycle ,25
A243,25,4.7,Snack ,scooter ,37
D446,28,4.9,Drinks ,electric_scooter ,10
6436,34,3.7,Buffet ,scooter ,34
5D2D,24,4.5,Meal ,scooter ,14
BB22,31,5.0,Buffet ,motorcycle ,26
8B2B,38,4.6,Buffet ,scooter ,30
C1EC,32,4.8,Buffet ,motorcycle ,17
DE6F,28,5.0,Buffet ,motorcycle ,29
33A0,29,4.5,Drinks ,motorcycle ,37
B712,28,4.8,Drinks ,electric_scooter ,23
8299,39,4.8,Drinks ,motorcycle ,30
9E+30,39,4.8,Buffet ,scooter ,29
9155,26,4.8,Buffet ,scooter ,14
3D8C,33,4.8,Buffet ,electric_scooter ,28
D3FA,37,4.9,Drinks ,scooter ,27
BB9,29,4.6,Drinks ,scooter ,24
B012,24,4.6,Snack ,motorcycle ,16
DCAA,36,5.0,Meal ,motorcycle ,43
9587,22,4.7,Snack ,motorcycle ,44
43BA,21,4.6,Meal ,motorcycle ,22
5803,29,5.0,Buffet ,scooter ,16
70F5,33,4.7,Drinks ,scooter ,18
575D,27,4.1,Drinks ,motorcycle ,16
6EF,29,4.6,Drinks ,motorcycle ,24
4F3C,30,4.2,Buffet ,motorcycle ,46
B9BC,22,4.8,Buffet ,motorcycle ,26
B209,20,4.9,Drinks ,scooter ,17
4F9A,31,4.4,Buffet ,motorcycle ,44
8011,36,4.6,Drinks ,scooter ,17
9692,39,4.9,Snack ,motorcycle ,43
9415,32,4.7,Meal ,motorcycle ,41
B6A0,23,4.2,Drinks ,motorcycle ,34
7BF,30,3.8,Buffet ,scooter ,40
7CB8,26,4.7,Meal ,scooter ,16
953,29,4.6,Buffet ,motorcycle ,23
9C8C,21,4.9,Buffet ,motorcycle ,13
B38B,23,4.6,Drinks ,scooter ,29
4D5B,22,4.9,Meal ,motorcycle ,24
8F9E,39,4.5,Drinks ,motorcycle ,16
3B2E,32,4.1,Drinks ,scooter ,34
2CB6,25,4.7,Drinks ,motorcycle ,20
9D2B,30,5.0,Snack ,motorcycle ,28
7943,25,4.8,Drinks ,scooter ,30
205D,26,4.7,Snack ,scooter ,14
5AAD,30,4.6,Snack ,motorcycle ,30
D747,31,4.3,Drinks ,motorcycle ,25
AC01,33,4.8,Buffet ,motorcycle ,28
9098,20,5.0,Drinks ,scooter ,17
AFF,36,4.3,Meal ,scooter ,33
A3A6,20,4.9,Snack ,motorcycle ,36
473,29,4.6,Buffet ,scooter ,16
E076,38,4.1,Snack ,scooter ,38
8A91,37,4.7,Meal ,motorcycle ,25
788D,28,5.0,Buffet ,scooter ,40
6948,39,3.5,Meal ,motorcycle ,32
2.8E+10,31,4.0,Snack ,scooter ,42
53EA,30,4.9,Snack ,motorcycle ,27
CD30,27,4.9,Drinks ,motorcycle ,25
57CE,30,4.9,Drinks ,motorcycle ,24
3D57,29,4.5,Snack ,scooter ,30
DD28,35,4.5,Meal ,motorcycle ,22
1B03,34,4.9,Snack ,motorcycle ,31
9646,37,4.8,Buffet ,scooter ,16
3E9B,34,4.9,Meal ,motorcycle ,25
5A5D,31,4.9,Buffet ,scooter ,16
33DD,23,4.1,Meal ,electric_scooter ,32
AB46,29,4.7,Snack ,motorcycle ,20
A8B9,20,4.9,Meal ,motorcycle ,11
7096,26,4.1,Meal ,motorcycle ,21
23B8,34,4.5,Snack ,motorcycle ,44
C55C,34,4.9,Snack ,motorcycle ,19
9B27,21,4.7,Buffet ,scooter ,11
BC03,35,4.6,Snack ,motorcycle ,23
38C5,20,4.7,Snack ,electric_scooter ,12
2997,24,4.1,Buffet ,electric_scooter ,39
5AA4,25,4.5,Snack ,scooter ,16
1D9C,22,4.8,Drinks ,scooter ,17
B041,38,4.7,Meal ,motorcycle ,24
5145,29,4.3,Meal ,scooter ,33
91BA,24,4.8,Snack ,scooter ,29
C951,36,4.8,Buffet ,motorcycle ,42
B0E7,31,4.7,Buffet ,electric_scooter ,28
1A1E,20,4.8,Snack ,scooter ,25
CDF 4.00,25,4.6,Snack ,scooter ,16
AEA,23,5.0,Meal ,scooter ,11
6723,39,4.7,Buffet ,motorcycle ,34
326E,21,4.7,Snack ,motorcycle ,35
1983,32,4.7,Drinks ,scooter ,25
7648,36,4.9,Drinks ,motorcycle ,15
8028,38,4.8,Snack ,motorcycle ,49
5D47,34,4.3,Snack ,motorcycle ,35
5FD4,23,2.5,Buffet ,motorcycle ,34
A14D,32,3.6,Meal ,scooter ,39
6B51,31,4.8,Meal ,motorcycle ,26
A5DC,22,4.6,Buffet ,motorcycle ,11
268B,34,3.9,Drinks ,electric_scooter ,33
15F4,39,4.8,Meal ,motorcycle ,47
